
Degree     Radians         sin             cos           tan
-180  -3.141593e+00  -1.224647e-16  -1.000000e+00  1.224647e-16
-179  -3.124139e+00  -1.745241e-02  -9.998477e-01  1.745506e-02
-178  -3.106686e+00  -3.489950e-02  -9.993908e-01  3.492077e-02
-177  -3.089233e+00  -5.233596e-02  -9.986295e-01  5.240778e-02
-176  -3.071779e+00  -6.975647e-02  -9.975641e-01  6.992681e-02
-175  -3.054326e+00  -8.715574e-02  -9.961947e-01  8.748866e-02
-174  -3.036873e+00  -1.045285e-01  -9.945219e-01  1.051042e-01
-173  -3.019420e+00  -1.218693e-01  -9.925462e-01  1.227846e-01
-172  -3.001966e+00  -1.391731e-01  -9.902681e-01  1.405408e-01
-171  -2.984513e+00  -1.564345e-01  -9.876883e-01  1.583844e-01
-170  -2.967060e+00  -1.736482e-01  -9.848078e-01  1.763270e-01
-169  -2.949606e+00  -1.908090e-01  -9.816272e-01  1.943803e-01
-168  -2.932153e+00  -2.079117e-01  -9.781476e-01  2.125566e-01
-167  -2.914700e+00  -2.249511e-01  -9.743701e-01  2.308682e-01
-166  -2.897247e+00  -2.419219e-01  -9.702957e-01  2.493280e-01
-165  -2.879793e+00  -2.588190e-01  -9.659258e-01  2.679492e-01
-164  -2.862340e+00  -2.756374e-01  -9.612617e-01  2.867454e-01
-163  -2.844887e+00  -2.923717e-01  -9.563048e-01  3.057307e-01
-162  -2.827433e+00  -3.090170e-01  -9.510565e-01  3.249197e-01
-161  -2.809980e+00  -3.255682e-01  -9.455186e-01  3.443276e-01
-160  -2.792527e+00  -3.420201e-01  -9.396926e-01  3.639702e-01
-159  -2.775074e+00  -3.583679e-01  -9.335804e-01  3.838640e-01
-158  -2.757620e+00  -3.746066e-01  -9.271839e-01  4.040262e-01
-157  -2.740167e+00  -3.907311e-01  -9.205049e-01  4.244748e-01
-156  -2.722714e+00  -4.067366e-01  -9.135455e-01  4.452287e-01
-155  -2.705260e+00  -4.226183e-01  -9.063078e-01  4.663077e-01
-154  -2.687807e+00  -4.383711e-01  -8.987940e-01  4.877326e-01
-153  -2.670354e+00  -4.539905e-01  -8.910065e-01  5.095254e-01
-152  -2.652900e+00  -4.694716e-01  -8.829476e-01  5.317094e-01
